TransactionId,CustomerId,TransactionDate,Amount,TransactionType,Region,Description
TXN001,CUST001,2024-01-15,1500.00,Deposit,North,Salary deposit
TXN002,CUST002,2024-01-16,250.50,Withdrawal,South,ATM withdrawal
TXN003,CUST001,2024-01-17,75.00,Payment,North,Utility payment
TXN004,CUST003,2024-01-18,3200.00,Deposit,East,Business income
TXN005,CUST004,2024-01-19,450.00,Withdrawal,West,Cash withdrawal
TXN006,CUST002,2024-01-20,120.00,Payment,South,Credit card payment
TXN007,CUST005,2024-01-21,2500.00,Deposit,North,Salary deposit
TXN008,CUST003,2024-01-22,890.00,Payment,East,Loan payment
TXN009,CUST001,2024-01-23,65.00,Payment,North,Phone bill
TXN010,CUST006,2024-01-24,5000.00,Deposit,West,Investment return
TXN011,CUST004,2024-02-01,1800.00,Deposit,West,Salary deposit
TXN012,CUST007,2024-02-02,320.00,Withdrawal,South,ATM withdrawal
TXN013,CUST005,2024-02-03,150.00,Payment,North,Insurance payment
TXN014,CUST008,2024-02-04,4500.00,Deposit,East,Business income
TXN015,CUST002,2024-02-05,280.00,Withdrawal,South,Cash withdrawal
TXN016,CUST006,2024-02-06,95.00,Payment,West,Utility payment
TXN017,CUST001,2024-02-07,2200.00,Deposit,North,Salary deposit
TXN018,CUST009,2024-02-08,175.00,Payment,East,Credit card payment
TXN019,CUST007,2024-02-09,650.00,Withdrawal,South,Cash withdrawal
TXN020,CUST003,2024-02-10,8500.00,Deposit,East,Large business deal
TXN021,CUST010,2024-03-01,1900.00,Deposit,West,Salary deposit
TXN022,CUST004,2024-03-02,420.00,Withdrawal,West,ATM withdrawal
TXN023,CUST008,2024-03-03,200.00,Payment,East,Subscription payment
TXN024,CUST005,2024-03-04,3100.00,Deposit,North,Bonus payment
TXN025,CUST009,2024-03-05,550.00,Withdrawal,East,Cash withdrawal
